method,route,route_file,controller,service,repository,result
GET,/,src/app.js:90,inline:90-94,—,—,Público intencional; mensagem de saúde da API; sem dados de usuário.
GET,/alarmes,src/routes/alarmeRoutes.js:6,src/controllers/alarmeController.js:3 (index),src/services/alarmeService.js:32 (listAlarmes),src/repositories/alarmeRepository.js:14 (findAll),Sem autenticação e sem autorização/posse; listagem global A01.
GET,/alarmes/usuario/:usuarioId,src/routes/alarmeRoutes.js:7,src/controllers/alarmeController.js:12 (showByUsuarioId),src/services/alarmeService.js:36 (getAlarmesByUsuarioId),src/repositories/alarmeRepository.js:22 (findByUsuarioId),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/alarmes/:id,src/routes/alarmeRoutes.js:8,src/controllers/alarmeController.js:22 (show),src/services/alarmeService.js:48 (getAlarmeById),src/repositories/alarmeRepository.js:30 (findById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
POST,/alarmes,src/routes/alarmeRoutes.js:9,src/controllers/alarmeController.js:32 (create),src/services/alarmeService.js:60 (createAlarme),src/repositories/alarmeRepository.js:39 (create),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
PUT,/alarmes/:id,src/routes/alarmeRoutes.js:10,src/controllers/alarmeController.js:41 (update),src/services/alarmeService.js:81 (updateAlarme),src/repositories/alarmeRepository.js:30 (findById); src/repositories/alarmeRepository.js:72 (update),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
DELETE,/alarmes/:id,src/routes/alarmeRoutes.js:11,src/controllers/alarmeController.js:51 (deleteById),src/services/alarmeService.js:110 (deleteById),src/repositories/alarmeRepository.js:105 (deleteById); src/repositories/alarmeRepository.js:30 (findById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
POST,/login,src/routes/authRoutes.js:6,src/controllers/authController.js:3 (login),src/services/authService.js:4 (login),src/repositories/userRepository.js:60 (findByLogin),Público intencional; verifica senha; não emite token/sessão.
GET,/configuracoes,src/routes/configuracaoRoutes.js:6,src/controllers/configuracaoController.js:3 (index),src/services/configuracaoService.js:3 (listConfiguracoes),src/repositories/configuracaoRepository.js:4 (findAll),Sem autenticação e sem autorização/posse; listagem global A01.
GET,/configuracoes/:id,src/routes/configuracaoRoutes.js:7,src/controllers/configuracaoController.js:12 (show),src/services/configuracaoService.js:7 (getConfiguracaoById),src/repositories/configuracaoRepository.js:12 (findById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
POST,/configuracoes,src/routes/configuracaoRoutes.js:8,src/controllers/configuracaoController.js:22 (create),src/services/configuracaoService.js:19 (createConfiguracao),src/repositories/configuracaoRepository.js:21 (create),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
PUT,/configuracoes/:id,src/routes/configuracaoRoutes.js:9,src/controllers/configuracaoController.js:31 (update),src/services/configuracaoService.js:36 (updateConfiguracao),src/repositories/configuracaoRepository.js:12 (findById); src/repositories/configuracaoRepository.js:50 (update),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
DELETE,/configuracoes/:id,src/routes/configuracaoRoutes.js:10,src/controllers/configuracaoController.js:41 (deleteById),src/services/configuracaoService.js:61 (deleteById),src/repositories/configuracaoRepository.js:12 (findById); src/repositories/configuracaoRepository.js:79 (deleteById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/exportacoes,src/routes/exportacaoRoutes.js:6,src/controllers/exportacaoController.js:3 (index),src/services/exportacaoService.js:6 (listExportacoes),src/repositories/exportacaoRepository.js:4 (findAll),Sem autenticação e sem autorização/posse; listagem global A01.
GET,/exportacoes/relatorio,src/routes/exportacaoRoutes.js:7,src/controllers/exportacaoController.js:51 (gerarRelatorio),src/services/exportacaoService.js:85 (gerarRelatorio),src/repositories/exportacaoRepository.js:84 (findDadosRelatorio),Sem autenticação e sem autorização/posse; ID da query controla exportação A04.
GET,/exportacoes/:id,src/routes/exportacaoRoutes.js:8,src/controllers/exportacaoController.js:12 (show),src/services/exportacaoService.js:10 (getExportacaoById),src/repositories/exportacaoRepository.js:12 (findById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
POST,/exportacoes,src/routes/exportacaoRoutes.js:9,src/controllers/exportacaoController.js:22 (create),src/services/exportacaoService.js:22 (createExportacao),src/repositories/exportacaoRepository.js:21 (create),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
PUT,/exportacoes/:id,src/routes/exportacaoRoutes.js:10,src/controllers/exportacaoController.js:31 (update),src/services/exportacaoService.js:38 (updateExportacao),src/repositories/exportacaoRepository.js:12 (findById); src/repositories/exportacaoRepository.js:49 (update),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
DELETE,/exportacoes/:id,src/routes/exportacaoRoutes.js:11,src/controllers/exportacaoController.js:41 (deleteById),src/services/exportacaoService.js:62 (deleteById),src/repositories/exportacaoRepository.js:12 (findById); src/repositories/exportacaoRepository.js:77 (deleteById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/periodos,src/routes/periodoRoutes.js:6,src/controllers/periodoController.js:3 (index),src/services/periodoService.js:3 (listPeriodos),src/repositories/periodoRepository.js:4 (findAll),Leitura de catálogo global; sem dado privado identificado.
GET,/periodos/:id,src/routes/periodoRoutes.js:7,src/controllers/periodoController.js:12 (show),src/services/periodoService.js:7 (getPeriodoById),src/repositories/periodoRepository.js:12 (findById),Leitura de catálogo global; sem dado privado identificado.
POST,/periodos,src/routes/periodoRoutes.js:8,src/controllers/periodoController.js:22 (create),src/services/periodoService.js:19 (createPeriodo),src/repositories/periodoRepository.js:21 (create),Sem autenticação e sem autorização/posse; A05.
PUT,/periodos/:id,src/routes/periodoRoutes.js:9,src/controllers/periodoController.js:31 (update),src/services/periodoService.js:31 (updatePeriodo),src/repositories/periodoRepository.js:12 (findById); src/repositories/periodoRepository.js:47 (update),Sem autenticação e sem autorização/posse; A05.
DELETE,/periodos/:id,src/routes/periodoRoutes.js:10,src/controllers/periodoController.js:41 (deleteById),src/services/periodoService.js:49 (deleteById),src/repositories/periodoRepository.js:12 (findById); src/repositories/periodoRepository.js:73 (deleteById),Sem autenticação e sem autorização/posse; A05.
GET,/registros-glicose,src/routes/registroGlicoseRoutes.js:6,src/controllers/registroGlicoseController.js:3 (index),src/services/registroGlicoseService.js:6 (listRegistrosGlicose),src/repositories/registroGlicoseRepository.js:4 (findAll),Sem autenticação e sem autorização/posse; listagem global A01.
GET,/registros-glicose/dashboard,src/routes/registroGlicoseRoutes.js:7,src/controllers/registroGlicoseController.js:44 (getDashboard),src/services/registroGlicoseService.js:207 (getDashboardDados),src/repositories/registroGlicoseRepository.js:301 (findByUserIdAndPeriod),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/registros-glicose/usuario/:id_usuario/historico,src/routes/registroGlicoseRoutes.js:8,src/controllers/registroGlicoseController.js:54 (getHistorico),src/services/registroGlicoseService.js:271 (getHistorico),src/repositories/registroGlicoseRepository.js:301 (findByUserIdAndPeriod),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/registros-glicose/usuario/:id_usuario,src/routes/registroGlicoseRoutes.js:9,src/controllers/registroGlicoseController.js:12 (showByUserId),src/services/registroGlicoseService.js:38 (getRegistrosGlicoseByUserId); src/services/registroGlicoseService.js:207 (getDashboardDados); src/services/registroGlicoseService.js:38 (getRegistrosGlicoseByUserId),src/repositories/registroGlicoseRepository.js:301 (findByUserIdAndPeriod); src/repositories/registroGlicoseRepository.js:66 (findByUserId); src/repositories/userRepository.js:60 (findByLogin),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/registros-glicose/:id,src/routes/registroGlicoseRoutes.js:10,src/controllers/registroGlicoseController.js:34 (show),src/services/registroGlicoseService.js:10 (getRegistroGlicoseById),src/repositories/registroGlicoseRepository.js:27 (findDetalhadoById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
POST,/registros-glicose,src/routes/registroGlicoseRoutes.js:11,src/controllers/registroGlicoseController.js:70 (create),src/services/registroGlicoseService.js:337 (createRegistroGlicose),src/repositories/registroGlicoseRepository.js:143 (createCompleto); src/repositories/registroGlicoseRepository.js:27 (findDetalhadoById); src/repositories/registroGlicoseRepository.js:81 (create),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
PUT,/registros-glicose/:id,src/routes/registroGlicoseRoutes.js:12,src/controllers/registroGlicoseController.js:79 (update),src/services/registroGlicoseService.js:356 (updateRegistroGlicose),src/repositories/registroGlicoseRepository.js:15 (findById); src/repositories/registroGlicoseRepository.js:189 (updateCompleto),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
DELETE,/registros-glicose/:id,src/routes/registroGlicoseRoutes.js:13,src/controllers/registroGlicoseController.js:89 (deleteById),src/services/registroGlicoseService.js:378 (deleteById),src/repositories/registroGlicoseRepository.js:15 (findById); src/repositories/registroGlicoseRepository.js:271 (deleteById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/registros-insulina,src/routes/registroInsulinaRoutes.js:6,src/controllers/registroInsulinaController.js:3 (index),src/services/registroInsulinaService.js:4 (listRegistrosInsulina),src/repositories/registroInsulinaRepository.js:4 (findAll),Sem autenticação e sem autorização/posse; listagem global A01.
GET,/registros-insulina/usuario/:id_usuario,src/routes/registroInsulinaRoutes.js:7,src/controllers/registroInsulinaController.js:22 (showByUserId),src/services/registroInsulinaService.js:36 (getRegistrosInsulinaByUserId),src/repositories/registroInsulinaRepository.js:21 (findByUserId); src/repositories/userRepository.js:60 (findByLogin),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/registros-insulina/:id,src/routes/registroInsulinaRoutes.js:8,src/controllers/registroInsulinaController.js:12 (show),src/services/registroInsulinaService.js:8 (getRegistroInsulinaById),src/repositories/registroInsulinaRepository.js:12 (findById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
POST,/registros-insulina,src/routes/registroInsulinaRoutes.js:9,src/controllers/registroInsulinaController.js:33 (create),src/services/registroInsulinaService.js:71 (createRegistroInsulina),src/repositories/registroInsulinaRepository.js:44 (create),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
PUT,/registros-insulina/:id,src/routes/registroInsulinaRoutes.js:10,src/controllers/registroInsulinaController.js:42 (update),src/services/registroInsulinaService.js:87 (updateRegistroInsulina),src/repositories/registroInsulinaRepository.js:12 (findById); src/repositories/registroInsulinaRepository.js:72 (update),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
DELETE,/registros-insulina/:id,src/routes/registroInsulinaRoutes.js:11,src/controllers/registroInsulinaController.js:52 (deleteById),src/services/registroInsulinaService.js:111 (deleteById),src/repositories/registroInsulinaRepository.js:100 (deleteById); src/repositories/registroInsulinaRepository.js:12 (findById),Sem autenticação e sem autorização/posse; ID do path/query/body controla dados A03.
GET,/tipos-insulina,src/routes/typeInsuRoutes.js:6,src/controllers/typeInsuController.js:3 (index),src/services/typeInsuService.js:3 (listTypeInsu),src/repositories/typeInsuRepository.js:4 (findAll),Leitura de catálogo global; sem dado privado identificado.
GET,/tipos-insulina/:id,src/routes/typeInsuRoutes.js:7,src/controllers/typeInsuController.js:12 (show),src/services/typeInsuService.js:7 (getTypeInsuById),src/repositories/typeInsuRepository.js:12 (findById),Leitura de catálogo global; sem dado privado identificado.
POST,/tipos-insulina,src/routes/typeInsuRoutes.js:8,src/controllers/typeInsuController.js:22 (create),src/services/typeInsuService.js:49 (create),src/repositories/typeInsuRepository.js:55 (create),Sem autenticação e sem autorização/posse; A05.
PUT,/tipos-insulina/:id,src/routes/typeInsuRoutes.js:9,src/controllers/typeInsuController.js:31 (update),src/services/typeInsuService.js:31 (updateById),src/repositories/typeInsuRepository.js:12 (findById); src/repositories/typeInsuRepository.js:28 (updateById),Sem autenticação e sem autorização/posse; A05.
DELETE,/tipos-insulina/:id,src/routes/typeInsuRoutes.js:10,src/controllers/typeInsuController.js:41 (deleteById),src/services/typeInsuService.js:19 (deleteById),src/repositories/typeInsuRepository.js:12 (findById); src/repositories/typeInsuRepository.js:21 (deleteById),Sem autenticação e sem autorização/posse; A05.
GET,/usuarios,src/routes/userRoutes.js:8,src/controllers/userController.js:3 (index),src/services/userService.js:4 (listUsers),src/repositories/userRepository.js:4 (findAll),Sem autenticação e sem autorização/posse; A01.
GET,/usuarios/:id,src/routes/userRoutes.js:9,src/controllers/userController.js:22 (show),src/services/userService.js:8 (getUserById),src/repositories/userRepository.js:42 (findById),Sem autenticação e sem autorização/posse; A02.
GET,/usuarios/:tipo_usuario,src/routes/userRoutes.js:10,src/controllers/userController.js:12 (showByType),src/services/userService.js:20 (getUsersByType),src/repositories/userRepository.js:72 (findByType),"Sombreado por GET /usuarios/:id; inspecionado, não alcançável no roteamento atual."
POST,/usuarios,src/routes/userRoutes.js:12,src/controllers/userController.js:43 (create),src/services/userService.js:37 (createUser),src/repositories/userRepository.js:51 (findByEmail); src/repositories/userRepository.js:81 (create),Sem autenticação e sem autorização/posse; A06.
DELETE,/usuarios/:id,src/routes/userRoutes.js:13,src/controllers/userController.js:33 (deleteById),src/services/userService.js:25 (deleteById),src/repositories/userRepository.js:12 (deleteById); src/repositories/userRepository.js:42 (findById),Sem autenticação e sem autorização/posse; A02.
PUT,/usuarios/:id,src/routes/userRoutes.js:14,src/controllers/userController.js:53 (update),src/services/userService.js:78 (updateUser),src/repositories/userRepository.js:126 (update),Sem autenticação e sem autorização/posse; A02/A06.
